Date,x1,x2,x3,x4,x5,x6
09/05/2024,932.8,889,940,948,944,943
09/06/2024,924.6,902,889,940,948,944
09/09/2024,919.4,918,902,889,940,948
09/10/2024,909.6,899,918,902,889,940
09/11/2024,902.4,904,899,918,902,889
09/12/2024,904.8,901,904,899,918,902
09/13/2024,912.4,940,901,904,899,918
09/16/2024,918.2,947,940,901,904,899
09/18/2024,927.8,947,947,940,901,904
09/19/2024,935.2,941,947,947,940,901
09/20/2024,947,960,941,947,947,940
09/23/2024,953.6,973,960,941,947,947
09/24/2024,959.6,977,973,960,941,947
09/25/2024,967.6,987,977,973,960,941
09/26/2024,980.4,"1,005.00",987,977,973,960
09/27/2024,991.4,"1,015.00","1,005.00",987,977,973
09/30/2024,996.8,"1,000.00","1,015.00","1,005.00",987,977
10/01/2024,992.8,957,"1,000.00","1,015.00","1,005.00",987
10/04/2024,989.8,972,957,"1,000.00","1,015.00","1,005.00"
10/07/2024,984.2,977,972,957,"1,000.00","1,015.00"
10/08/2024,982.2,"1,005.00",977,972,957,"1,000.00"
